provider_name,provider_phone,google_place_id,reviewer_name,reviewer_rating,review_text,review_time,relative_time,profile_photo,fetched_at,created_at,review_text_search
Patients First - Lake Ella,(850) 385-2222,ChIJAXqKRZD17IgRgqOHrmIMbB8,John Valentine,5,After a brief wait I was treated in a friendly professional manner by all three staff I interacted with.   The receptionist had to help my old self with the check in computer choices which she did in a friendly efficient way.  Should I need urgent care in the future I’ll definitely be back.  It was almost fun.,2025-08-20 11:57:54,a month ago,https://lh3.googleusercontent.com/a/ACg8ocIwxpfdDGnbynapXEfnyrroEJtw1h-KRWf5EQ_u0j9ZDI4YEw=s128-c0x00000000-cc-rp-mo,2025-10-13 18:15:24.008761,,
Patients First - Lake Ella,(850) 385-2222,ChIJAXqKRZD17IgRgqOHrmIMbB8,Ebony Thomas,5,The ladies at the front desk had very good and nice hospitality!!! Very polite. Helpful and friendly! Clean atmosphere. Very fast with getting the patients in the back! Thanks for making me a happy customer.,2025-09-13 10:42:09,a month ago,https://lh3.googleusercontent.com/a-/ALV-UjV8kZdvT5JQhTsLsH4kYG60WSB5ZlPNXTxKuoe-69JzW_cUiYjV=s128-c0x00000000-cc-rp-mo,2025-10-13 18:15:24.008761,,
Patients First - Lake Ella,(850) 385-2222,ChIJAXqKRZD17IgRgqOHrmIMbB8,Shenell By Faith & Love,5,First time at this location. Friendly and caring staff. Very clean waiting area with plenty of space to sit inside. Had a brief wait before being called but the staff apologized for that which I appreciated:) Definitely would return and recommend their services.,2025-08-22 15:31:51,a month ago,https://lh3.googleusercontent.com/a-/ALV-UjUIOKkCJe7ApMpA3EW8O7cv_fFPnofs_9SzlWMj4y8RC0glfhTn=s128-c0x00000000-cc-rp-mo,2025-10-13 18:15:24.008761,,
Patients First - Lake Ella,(850) 385-2222,ChIJAXqKRZD17IgRgqOHrmIMbB8,Robert Hunter,5,Easy checking in and my wait time in the waiting room was very short.  The person who did my vitals was very pleasant and easy to talk to. The PA was very professional.,2025-09-28 16:29:04,2 weeks ago,https://lh3.googleusercontent.com/a-/ALV-UjWoMaqiBI3zgixW1-Ofy5E9hmI7bYosxD9kf9odi29Efq6zNUiOyw=s128-c0x00000000-cc-rp-mo,2025-10-13 18:15:24.008761,,
Patti Johnson Farm,(727) 589-8030,ChIJp570Lc3lwogRgWfcZ864axo,Kelcy Talbot,5,"Such a wonderful hidden gem! It’s free to get in, but they accept donations—which is amazing considering how well the farm is managed. The place is spotless, the animals are clearly well cared for, and it’s a perfect outing for kids. The staff are incredibly kind and helpful, making the whole experience even more enjoyable. Highly recommend supporting this special place!",2025-07-18 10:52:33,2 months ago,https://lh3.googleusercontent.com/a/ACg8ocL3kvMSFz9BwnT_zrqcbYAP79yUyZpqav8ebZtiC5iKwzq4paQC=s128-c0x00000000-cc-rp-mo,2025-10-13 18:15:24.700628,,
Patti Johnson Farm,(727) 589-8030,ChIJp570Lc3lwogRgWfcZ864axo,Alona Batt,5,"What a special place! Free to visit and so beautiful. It’s not a petting zoo but many of the animals are friendly and do enjoy pets. Every farm animal you can think of, and it’s huge! There is space for the kids to run, plenty of shade, and tables to sit and relax or have a snack. There’s a big handwashing station as well as large bathrooms. Plus a little free library was a great bonus. The activity barn is beautiful as well, and the staff are so sweet!! Love love love, can’t wait to come back!",2025-09-11 13:13:21,a month ago,https://lh3.googleusercontent.com/a/ACg8ocLG5mjdDwP38tYlkrF9YPLyZtnKfU4kuGsZCUczqRSH-gFghJA=s128-c0x00000000-cc-rp-mo-ba2,2025-10-13 18:15:24.700628,,
Patti Johnson Farm,(727) 589-8030,ChIJp570Lc3lwogRgWfcZ864axo,G. Orengo,5,"It was an amazing experience & its free! Small space but clean, the animals are social and their staff is well prepared they will answer all the questions you have!",2025-07-23 19:36:31,2 months ago,https://lh3.googleusercontent.com/a/ACg8ocINkR_Tt_p6NGr2rBCquOF0xYOvKOJLpbB8GrOxt_W9esOilzI=s128-c0x00000000-cc-rp-mo,2025-10-13 18:15:24.700628,,
Patti Johnson Farm,(727) 589-8030,ChIJp570Lc3lwogRgWfcZ864axo,Kevin Miller,5,Awesome place with a wonderful staff that truly seem to love what they do. They are always finding ways to improve the experience and enhance the farm for the animals and the community. Keep up the amazing work!,2025-05-10 12:16:58,5 months ago,https://lh3.googleusercontent.com/a/ACg8ocLURCRbO6-5iLMS1cYL_iY-ySznA-Wy6ZwsEBao75N6eFYnXA=s128-c0x00000000-cc-rp-mo,2025-10-13 18:15:24.700628,,
Patti Johnson Farm,(727) 589-8030,ChIJp570Lc3lwogRgWfcZ864axo,Brie,5,Such a great farm run by wonderful people. We had a field trip here and our preschoolers loved it. We hope to come back every year!,2025-01-16 11:05:16,9 months ago,https://lh3.googleusercontent.com/a-/ALV-UjXxhdDI6b3pCE1ZKLL4daa9S5ep6a_F2sZ0LOaBnYZyETHf6bmj=s128-c0x00000000-cc-rp-mo-ba3,2025-10-13 18:15:24.700628,,
Paw Haven Animal Hospital,(863) 293-1428,ChIJg7rudiht3YgRnqd27uP5yVc,Carlos Defreitas,5,"⭐️⭐️⭐️⭐️⭐️
I can’t say enough good things about Paw Haven Animal Hospital. From the moment we walked in, the staff treated us with kindness, professionalism, and genuine care. The front desk team was welcoming and efficient, and the technicians handled my schnauzer with such patience and compassion that it immediately put us both at ease.

My schnauzer was viciously attacked by a much larger dog, and the doctors at Paw Haven Animal Hospital quite literally **saved her life**. They acted quickly, provided expert treatment, and guided me every step of the way through a very stressful situation. We are forever grateful to them for giving my little one a second chance.

The doctors are extremely knowledgeable and take the time to explain everything in detail, making sure I fully understood my pet’s needs and treatment options. What really stood out was their balance of professionalism with a true love for animals—you can tell they treat each pet as if it were their own.

The hospital itself is very clean, well-organized, and well equipped, which gave me confidence that my pet was in the best hands. On top of that, their services are reasonably priced, especially considering the exceptional level of care they provide. They even followed up after the visit to check on my schnauzer, which meant a lot and showed how much they care beyond the appointment.

If you are looking for a veterinary clinic where you and your pet will be treated with respect, compassion, top-quality care, and fair pricing, Paw Haven Animal Hospital is the place to go. I highly recommend them!",2025-08-29 14:11:55,a month ago,https://lh3.googleusercontent.com/a-/ALV-UjU2PSs9L9SKXrXKce2uWorsTjp_SALfd9z0IUiOtartenkeXXLa=s128-c0x00000000-cc-rp-mo-ba3,2025-10-13 18:15:25.308638,,
